"red_sig_str_rnd_1","red_tot_str_rnd_1","red_tot_str_attempt_rnd_1","red_ctrl_time_rnd_1","red_sig_str_rnd_2","red_tot_str_rnd_2","red_tot_str_attempt_rnd_2","red_ctrl_time_rnd_2","red_sig_str_rnd_3","red_tot_str_rnd_3","red_tot_str_attempt_rnd_3","red_ctrl_time_rnd_3","red_sig_str_head_rnd_1","red_sig_str_head_rnd_2","red_sig_str_head_rnd_3"
14,14,24,1,7,10,22,76,13,13,32,0,4,3,2
22,24,47,0,9,14,23,0,28,39,58,14,11,7,15
21,31,63,2,21,27,61,30,10,15,41,10,11,10,6
22,22,59,0,33,33,70,0,21,21,55,0,10,20,17
11,45,69,182,23,32,75,45,25,39,92,72,9,22,19
22,56,74,110,15,83,100,205,22,37,65,118,15,9,20
39,46,106,19,16,39,56,181,37,66,75,235,24,7,15
14,14,40,45,16,16,36,0,15,15,34,33,4,9,10
30,38,73,65,24,31,54,65,62,65,120,3,16,14,48
26,33,113,0,19,26,94,31,39,41,132,0,12,9,18
18,23,45,0,10,25,37,2,13,24,58,0,14,5,11
23,27,65,12,25,25,50,15,20,20,47,0,9,11,4
26,26,109,0,20,29,82,99,27,27,105,9,17,12,26
22,36,63,97,12,28,57,0,29,61,84,16,15,5,12
28,49,75,202,8,19,32,0,7,12,58,85,24,3,6
11,15,25,1,2,13,20,1,1,7,8,5,10,2,1
26,46,74,128,18,18,40,9,19,25,42,69,25,18,18
11,11,27,0,15,15,35,0,20,20,61,0,4,4,8
16,17,53,0,19,19,54,0,23,23,70,0,6,13,12
6,8,16,2,10,10,47,23,17,17,48,0,2,3,3
12,12,37,0,25,26,49,10,26,26,45,3,7,14,14
9,14,22,33,10,21,28,114,17,35,56,88,4,7,11
24,48,69,87,23,47,66,121,30,44,82,140,11,12,19
27,28,57,22,30,30,78,12,40,41,99,1,11,18,26
20,21,53,0,29,30,63,0,38,38,79,0,17,22,31
17,45,65,211,5,26,39,280,6,20,25,255,14,4,2
35,43,74,76,27,41,63,83,41,49,90,32,19,12,25
30,37,77,8,67,71,138,3,48,53,123,14,14,46,36
22,26,49,88,25,25,72,0,9,9,29,28,17,19,9
24,24,99,0,23,23,71,0,21,24,87,0,13,8,16
